DATE,US1NIM
1984-01-01,4.43
1984-04-01,4.55
1984-07-01,4.59
1984-10-01,4.58
1985-01-01,4.5
1985-04-01,4.59
1985-07-01,4.64
1985-10-01,4.65
1986-01-01,4.48
1986-04-01,4.47
1986-07-01,4.44
1986-10-01,4.43
1987-01-01,4.55
1987-04-01,4.62
1987-07-01,4.65
1987-10-01,4.67
1988-01-01,4.47
1988-04-01,4.55
1988-07-01,4.62
1988-10-01,4.66
1989-01-01,4.74
1989-04-01,4.79
1989-07-01,4.76
1989-10-01,4.74
1990-01-01,4.56
1990-04-01,4.61
1990-07-01,4.64
1990-10-01,4.65
1991-01-01,4.5
1991-04-01,4.56
1991-07-01,4.61
1991-10-01,4.63
1992-01-01,4.73
1992-04-01,4.81
1992-07-01,4.85
1992-10-01,4.9
1993-01-01,4.84
1993-04-01,4.88
1993-07-01,4.87
1993-10-01,4.86
1994-01-01,5.63
1994-04-01,5.21
1994-07-01,5.13
1994-10-01,5.11
1995-01-01,4.87
1995-04-01,4.87
1995-07-01,4.88
1995-10-01,4.89
1996-01-01,4.75
1996-04-01,4.77
1996-07-01,4.81
1996-10-01,4.82
1997-01-01,4.75
1997-04-01,4.81
1997-07-01,4.85
1997-10-01,4.87
1998-01-01,4.67
1998-04-01,4.7
1998-07-01,4.72
1998-10-01,4.72
1999-01-01,4.51
1999-04-01,4.56
1999-07-01,4.6
1999-10-01,4.62
2000-01-01,4.62
2000-04-01,4.63
2000-07-01,4.63
2000-10-01,4.62
2001-01-01,4.36
2001-04-01,4.39
2001-07-01,4.41
2001-10-01,4.43
2002-01-01,4.40
2002-04-01,4.46
2002-07-01,4.48
2002-10-01,4.47
2003-01-01,4.24
2003-04-01,4.24
2003-07-01,4.23
2003-10-01,4.25
2004-01-01,4.20
2004-04-01,4.20
2004-07-01,4.24
2004-10-01,4.27
2005-01-01,4.22
2005-04-01,4.28
2005-07-01,4.31
2005-10-01,4.33
2006-01-01,4.29
2006-04-01,4.31
2006-07-01,4.32
2006-10-01,4.30
2007-01-01,4.11
2007-04-01,4.13
2007-07-01,4.14
2007-10-01,4.13
2008-01-01,3.90
2008-04-01,3.89
2008-07-01,3.90
2008-10-01,3.88
2009-01-01,3.68
2009-04-01,3.71
2009-07-01,3.75
2009-10-01,3.78
2010-01-01,3.82
2010-04-01,3.87
2010-07-01,3.90
2010-10-01,3.90
2011-01-01,3.85
2011-04-01,3.91
2011-07-01,3.94
2011-10-01,3.96
2012-01-01,3.87
2012-04-01,3.88
2012-07-01,3.88
2012-10-01,3.87
2013-01-01,3.70
2013-04-01,3.73
2013-07-01,3.76
2013-10-01,3.78
2014-01-01,3.74
2014-04-01,3.77
2014-07-01,3.81
2014-10-01,3.83
2015-01-01,3.73
2015-04-01,3.76
2015-07-01,3.79
2015-10-01,3.79
2016-01-01,3.79
2016-04-01,3.80
2016-07-01,3.82
2016-10-01,3.82
2017-01-01,3.77
2017-04-01,3.81
2017-07-01,3.86
2017-10-01,3.87
2018-01-01,3.87
2018-04-01,3.92
2018-07-01,3.95
2018-10-01,3.98
2019-01-01,3.93
