DATE,US13NPTL
1984-01-01,2.27
1984-04-01,2.13
1984-07-01,2.2
1984-10-01,2.16
1985-01-01,2.36
1985-04-01,2.37
1985-07-01,2.51
1985-10-01,2.37
1986-01-01,2.59
1986-04-01,2.64
1986-07-01,2.65
1986-10-01,2.48
1987-01-01,2.55
1987-04-01,2.45
1987-07-01,2.46
1987-10-01,2.21
1988-01-01,2.24
1988-04-01,2.06
1988-07-01,2.02
1988-10-01,2.38
1989-01-01,1.89
1989-04-01,1.92
1989-07-01,1.97
1989-10-01,1.91
1990-01-01,2.03
1990-04-01,1.97
1990-07-01,2.04
1990-10-01,1.99
1991-01-01,2.18
1991-04-01,2.16
1991-07-01,2.27
1991-10-01,2.09
1992-01-01,2.20
1992-04-01,2.02
1992-07-01,1.96
1992-10-01,1.73
1993-01-01,1.74
1993-04-01,1.7
1993-07-01,1.62
1993-10-01,1.43
1994-01-01,1.4
1994-04-01,1.29
1994-07-01,1.23
1994-10-01,1.09
1995-01-01,1.11
1995-04-01,1.09
1995-07-01,1.1
1995-10-01,1.04
1996-01-01,1.1
1996-04-01,1.07
1996-07-01,1.06
1996-10-01,0.96
1997-01-01,0.98
1997-04-01,0.95
1997-07-01,0.95
1997-10-01,0.88
1998-01-01,0.93
1998-04-01,0.91
1998-07-01,0.91
1998-10-01,0.88
1999-01-01,0.9
1999-04-01,0.88
1999-07-01,0.89
1999-10-01,0.81
2000-01-01,0.83
2000-04-01,0.80
2000-07-01,0.83
2000-10-01,0.82
2001-01-01,0.88
2001-04-01,0.92
2001-07-01,0.98
2001-10-01,0.95
2002-01-01,1
2002-04-01,0.99
2002-07-01,0.99
2002-10-01,0.97
2003-01-01,1.01
2003-04-01,1.02
2003-07-01,0.99
2003-10-01,0.91
2004-01-01,0.88
2004-04-01,0.83
2004-07-01,0.80
2004-10-01,0.74
2005-01-01,0.73
2005-04-01,0.70
2005-07-01,0.72
2005-10-01,0.68
2006-01-01,0.70
2006-04-01,0.70
2006-07-01,0.75
2006-10-01,0.76
2007-01-01,0.86
2007-04-01,0.93
2007-07-01,1.05
2007-10-01,1.22
2008-01-01,1.51
2008-04-01,1.70
2008-07-01,1.90
2008-10-01,2.24
2009-01-01,2.64
2009-04-01,2.91
2009-07-01,3.11
2009-10-01,3.18
2010-01-01,3.33
2010-04-01,3.29
2010-07-01,3.24
2010-10-01,3.23
2011-01-01,3.28
2011-04-01,3.12
2011-07-01,3.03
2011-10-01,2.82
2012-01-01,2.83
2012-04-01,2.59
2012-07-01,2.50
2012-10-01,2.31
2013-01-01,2.27
2013-04-01,2.08
2013-07-01,1.94
2013-10-01,1.73
2014-01-01,1.69
2014-04-01,1.58
2014-07-01,1.50
2014-10-01,1.34
2015-01-01,1.32
2015-04-01,1.25
2015-07-01,1.18
2015-10-01,1.10
2016-01-01,1.15
2016-04-01,1.13
2016-07-01,1.12
2016-10-01,1.06
2017-01-01,1.07
2017-04-01,1.03
2017-07-01,1.02
2017-10-01,0.94
2018-01-01,1.00
2018-04-01,0.98
2018-07-01,0.95
2018-10-01,0.89
2019-01-01,0.98
