DATE,US31ROA
1984-01-01,0.89
1984-04-01,0.89
1984-07-01,0.89
1984-10-01,0.91
1985-01-01,0.92
1985-04-01,0.9
1985-07-01,0.88
1985-10-01,0.81
1986-01-01,0.84
1986-04-01,0.81
1986-07-01,0.69
1986-10-01,0.58
1987-01-01,0.81
1987-04-01,0.58
1987-07-01,0.63
1987-10-01,0.55
1988-01-01,0.64
1988-04-01,0.67
1988-07-01,0.69
1988-10-01,0.71
1989-01-01,0.89
1989-04-01,0.90
1989-07-01,0.92
1989-10-01,0.82
1990-01-01,0.83
1990-04-01,0.83
1990-07-01,0.81
1990-10-01,0.72
1991-01-01,0.82
1991-04-01,0.78
1991-07-01,0.74
1991-10-01,0.74
1992-01-01,0.97
1992-04-01,0.98
1992-07-01,0.96
1992-10-01,0.96
1993-01-01,1.21
1993-04-01,1.18
1993-07-01,1.16
1993-10-01,1.14
1994-01-01,1.21
1994-04-01,1.21
1994-07-01,1.25
1994-10-01,1.25
1995-01-01,1.25
1995-04-01,1.27
1995-07-01,1.27
1995-10-01,1.28
1996-01-01,1.35
1996-04-01,1.33
1996-07-01,1.29
1996-10-01,1.29
1997-01-01,1.32
1997-04-01,1.37
1997-07-01,1.42
1997-10-01,1.4
1998-01-01,1.37
1998-04-01,1.38
1998-07-01,1.4
1998-10-01,1.42
1999-01-01,1.34
1999-04-01,1.38
1999-07-01,1.38
1999-10-01,1.45
2000-01-01,1.39
2000-04-01,1.41
2000-07-01,1.40
2000-10-01,1.36
2001-01-01,1.28
2001-04-01,1.30
2001-07-01,1.28
2001-10-01,1.24
2002-01-01,1.27
2002-04-01,1.29
2002-07-01,1.29
2002-10-01,1.25
2003-01-01,1.32
2003-04-01,1.32
2003-07-01,1.28
2003-10-01,1.26
2004-01-01,1.31
2004-04-01,1.29
2004-07-01,1.31
2004-10-01,1.29
2005-01-01,1.35
2005-04-01,1.37
2005-07-01,1.39
2005-10-01,1.37
2006-01-01,1.36
2006-04-01,1.37
2006-07-01,1.38
2006-10-01,1.34
2007-01-01,1.22
2007-04-01,1.24
2007-07-01,1.22
2007-10-01,1.11
2008-01-01,0.93
2008-04-01,0.75
2008-07-01,0.46
2008-10-01,0.22
2009-01-01,0.28
2009-04-01,0.06
2009-07-01,0.03
2009-10-01,-0.16
2010-01-01,0.37
2010-04-01,0.37
2010-07-01,0.42
2010-10-01,0.28
2011-01-01,0.53
2011-04-01,0.55
2011-07-01,0.59
2011-10-01,0.56
2012-01-01,0.89
2012-04-01,0.88
2012-07-01,0.90
2012-10-01,0.85
2013-01-01,0.90
2013-04-01,0.96
2013-07-01,0.96
2013-10-01,0.95
2014-01-01,0.93
2014-04-01,0.99
2014-07-01,1.02
2014-10-01,1.03
2015-01-01,1.04
2015-04-01,1.07
2015-07-01,1.01
2015-10-01,1.08
2016-01-01,1.04
2016-04-01,1.08
2016-07-01,1.10
2016-10-01,1.09
2017-01-01,1.05
2017-04-01,1.10
2017-07-01,1.13
2017-10-01,1.07
2018-01-01,1.19
2018-04-01,1.24
2018-07-01,1.25
2018-10-01,1.29
2019-01-01,1.24
