DATE,US100NUM,US13NUM,US31NUM,US115NUM,USG15NUM,US100NIM,US13NIM,US31NIM,US115NIM,USG15NIM,US100ROA,US13ROA,US31ROA,US115ROA,USG15ROA,USNIM,USROA,USNP,USTAST,US100ROE,US13ROE,US31ROE,US115ROE,USG15ROE,US100NPTL,US13NPTL,US31NPTL,US115NPTL,USG15NPTL,US100LLRTL,US13LLRTL,US31LLRTL,US115LLRTL,USG15LLRTL
2014-10-01,1686,2154,1204,461,68,3.78,3.82,3.84,3.87,2.94,0.81,0.98,1.03,1.06,0.99,3.11,1.0,147590545,14321445021,7.02,9.05,9.7,9.05,8.83,1.42,1.34,1.3,1.32,2.16,1.57,1.51,1.47,1.34,1.51
2015-01-01,1607,2116,1228,476,75,3.68,3.74,3.72,3.76,2.78,0.83,0.99,1.04,1.04,0.99,2.95,1.0,138810059,14566092041,7.05,8.9,9.52,8.89,8.97,1.47,1.32,1.26,1.29,1.98,1.59,1.52,1.47,1.35,1.46
2015-04-01,1578,2097,1221,470,75,3.72,3.77,3.75,3.76,2.8,0.87,1.01,1.07,1.12,1.03,2.98,1.04,130992882,14530916533,7.39,9.14,9.84,9.52,9.26,1.39,1.25,1.17,1.18,1.83,1.54,1.49,1.43,1.31,1.41
2015-07-01,1557,2068,1216,466,74,3.77,3.81,3.78,3.81,2.81,0.9,1.03,1.01,1.14,1.02,2.99,1.03,125850998,14575346308,7.55,9.24,9.27,9.68,9.17,1.29,1.18,1.12,1.11,1.74,1.52,1.47,1.41,1.29,1.38
2015-10-01,1523,2038,1213,461,74,3.79,3.81,3.78,3.82,2.85,0.85,1.02,1.08,1.15,1.02,3.02,1.03,124963010,14731777244,7.11,9.2,9.86,9.81,9.11,1.28,1.1,1.05,1.08,1.68,1.5,1.43,1.37,1.26,1.35
2016-01-01,1469,2013,1204,498,76,3.78,3.79,3.79,3.78,2.86,0.9,1.03,1.04,1.07,0.92,3.02,0.94,128590815,15038044264,7.41,9.17,9.52,9.19,8.12,1.29,1.15,1.06,1.1,1.71,1.51,1.44,1.38,1.24,1.36
2016-04-01,1448,1982,1206,497,77,3.79,3.81,3.8,3.78,2.84,0.91,1.05,1.08,1.08,0.97,3.01,0.99,124108671,15278640276,7.48,9.34,9.82,9.24,8.6,1.25,1.13,1.0,1.05,1.61,1.48,1.42,1.36,1.21,1.34
2016-07-01,1408,1961,1199,497,76,3.81,3.83,3.81,3.78,2.87,0.94,1.07,1.1,1.1,1.0,3.03,1.02,120971328,15484786027,7.6,9.45,9.98,9.34,8.9,1.26,1.12,0.99,0.98,1.55,1.46,1.4,1.34,1.18,1.33
2016-10-01,1377,1938,1192,501,75,3.81,3.84,3.81,3.81,2.89,0.87,1.05,1.09,1.05,1.01,3.06,1.02,118831757,15473137616,7.09,9.26,9.91,8.94,9.01,1.16,1.06,0.94,1.01,1.51,1.46,1.39,1.32,1.19,1.31
2017-01-01,1324,1903,1209,520,77,3.74,3.78,3.77,3.74,2.96,0.86,1.05,1.05,1.09,1.01,3.1,1.02,111936584,15638613631,7.1,9.43,9.77,9.4,9.08,1.26,1.07,0.95,0.98,1.41,1.5,1.39,1.33,1.18,1.3
2017-04-01,1298,1891,1197,519,77,3.78,3.83,3.81,3.77,2.98,0.9,1.07,1.1,1.18,1.06,3.12,1.07,104212021,15739705756,7.35,9.61,10.13,10.09,9.44,1.24,1.03,0.92,0.87,1.29,1.46,1.37,1.31,1.11,1.28
2017-07-01,1284,1871,1197,512,78,3.82,3.88,3.85,3.77,3.01,0.93,1.11,1.13,1.17,1.07,3.15,1.08,102553750,15902768562,7.54,9.85,10.36,9.9,9.5,1.26,1.02,0.89,0.85,1.25,1.45,1.36,1.3,1.11,1.29
2017-10-01,1269,1849,1184,506,81,3.84,3.9,3.85,3.81,3.03,0.85,1.04,1.07,1.03,0.93,3.17,0.94,103976758,16035845919,6.89,9.2,9.8,8.74,8.25,1.16,0.94,0.82,0.83,1.26,1.42,1.33,1.27,1.1,1.26
2018-01-01,1230,1821,1193,523,85,3.85,3.89,3.86,3.87,3.1,0.91,1.15,1.19,1.29,1.27,3.23,1.26,99165272,16147089295,7.34,10.3,10.95,10.88,11.26,1.21,1.0,0.84,0.83,1.18,1.45,1.35,1.29,1.1,1.25
2018-04-01,1218,1791,1182,529,86,3.88,3.93,3.91,3.89,3.18,0.99,1.2,1.24,1.31,1.35,3.3,1.34,93151960,16240091829,8.0,10.67,11.4,11.08,12.03,1.21,0.98,0.8,0.8,1.08,1.43,1.34,1.28,1.08,1.24
2018-07-01,1190,1776,1169,525,86,3.91,3.97,3.94,3.91,3.2,1.02,1.24,1.25,1.36,1.37,3.33,1.36,89714404,16350523149,8.19,11.05,11.45,11.36,12.22,1.21,0.95,0.8,0.79,1.02,1.43,1.34,1.27,1.06,1.23
2018-10-01,1165,1748,1161,526,87,3.94,3.99,3.98,3.92,3.23,0.98,1.18,1.29,1.35,1.36,3.35,1.35,88525345,16591224858,7.83,10.49,11.71,11.28,12.12,1.16,0.89,0.76,0.77,0.99,1.41,1.32,1.27,1.04,1.22
2019-01-01,1121,1710,1189,540,92,3.91,3.95,3.92,3.9,3.25,0.99,1.16,1.24,1.3,1.37,3.36,1.35,88950973,16769527586,7.57,9.98,11.11,10.7,12.1,1.23,0.98,0.78,0.76,0.99,1.44,1.34,1.27,1.04,1.23
