DATE,US100LLRTL
1984-01-01,1.1
1984-04-01,1.1
1984-07-01,1.11
1984-10-01,1.19
1985-01-01,1.23
1985-04-01,1.24
1985-07-01,1.29
1985-10-01,1.39
1986-01-01,1.46
1986-04-01,1.48
1986-07-01,1.53
1986-10-01,1.59
1987-01-01,1.67
1987-04-01,1.64
1987-07-01,1.62
1987-10-01,1.64
1988-01-01,1.69
1988-04-01,1.66
1988-07-01,1.66
1988-10-01,1.66
1989-01-01,1.61
1989-04-01,1.66
1989-07-01,1.66
1989-10-01,1.68
1990-01-01,1.69
1990-04-01,1.65
1990-07-01,1.66
1990-10-01,1.68
1991-01-01,1.73
1991-04-01,1.72
1991-07-01,1.73
1991-10-01,1.74
1992-01-01,1.79
1992-04-01,1.77
1992-07-01,1.77
1992-10-01,1.78
1993-01-01,1.82
1993-04-01,1.77
1993-07-01,1.74
1993-10-01,1.71
1994-01-01,1.75
1994-04-01,1.69
1994-07-01,1.66
1994-10-01,1.63
1995-01-01,1.66
1995-04-01,1.61
1995-07-01,1.59
1995-10-01,1.57
1996-01-01,1.58
1996-04-01,1.54
1996-07-01,1.51
1996-10-01,1.50
1997-01-01,1.5
1997-04-01,1.46
1997-07-01,1.44
1997-10-01,1.44
1998-01-01,1.46
1998-04-01,1.43
1998-07-01,1.44
1998-10-01,1.44
1999-01-01,1.46
1999-04-01,1.43
1999-07-01,1.41
1999-10-01,1.4
2000-01-01,1.42
2000-04-01,1.39
2000-07-01,1.38
2000-10-01,1.38
2001-01-01,1.4
2001-04-01,1.39
2001-07-01,1.39
2001-10-01,1.41
2002-01-01,1.44
2002-04-01,1.43
2002-07-01,1.43
2002-10-01,1.43
2003-01-01,1.48
2003-04-01,1.47
2003-07-01,1.47
2003-10-01,1.46
2004-01-01,1.48
2004-04-01,1.46
2004-07-01,1.43
2004-10-01,1.41
2005-01-01,1.44
2005-04-01,1.41
2005-07-01,1.39
2005-10-01,1.39
2006-01-01,1.40
2006-04-01,1.37
2006-07-01,1.36
2006-10-01,1.35
2007-01-01,1.37
2007-04-01,1.35
2007-07-01,1.34
2007-10-01,1.32
2008-01-01,1.35
2008-04-01,1.35
2008-07-01,1.37
2008-10-01,1.44
2009-01-01,1.50
2009-04-01,1.54
2009-07-01,1.59
2009-10-01,1.65
2010-01-01,1.72
2010-04-01,1.70
2010-07-01,1.76
2010-10-01,1.75
2011-01-01,1.85
2011-04-01,1.83
2011-07-01,1.81
2011-10-01,1.81
2012-01-01,1.87
2012-04-01,1.82
2012-07-01,1.80
2012-10-01,1.77
2013-01-01,1.84
2013-04-01,1.76
2013-07-01,1.73
2013-10-01,1.67
2014-01-01,1.70
2014-04-01,1.65
2014-07-01,1.61
2014-10-01,1.57
2015-01-01,1.59
2015-04-01,1.54
2015-07-01,1.52
2015-10-01,1.50
2016-01-01,1.51
2016-04-01,1.48
2016-07-01,1.46
2016-10-01,1.46
2017-01-01,1.50
2017-04-01,1.46
2017-07-01,1.45
2017-10-01,1.42
2018-01-01,1.45
2018-04-01,1.43
2018-07-01,1.43
2018-10-01,1.41
2019-01-01,1.44
