DATE,US115NUM
1984-01-01,237
1984-04-01,240
1984-07-01,243
1984-10-01,243
1985-01-01,263
1985-04-01,263
1985-07-01,266
1985-10-01,269
1986-01-01,289
1986-04-01,289
1986-07-01,290
1986-10-01,294
1987-01-01,313
1987-04-01,311
1987-07-01,312
1987-10-01,316
1988-01-01,331
1988-04-01,333
1988-07-01,332
1988-10-01,331
1989-01-01,339
1989-04-01,346
1989-07-01,345
1989-10-01,348
1990-01-01,342
1990-04-01,340
1990-07-01,342
1990-10-01,334
1991-01-01,346
1991-04-01,342
1991-07-01,337
1991-10-01,336
1992-01-01,342
1992-04-01,341
1992-07-01,336
1992-10-01,336
1993-01-01,337
1993-04-01,330
1993-07-01,324
1993-10-01,324
1994-01-01,341
1994-04-01,336
1994-07-01,336
1994-10-01,332
1995-01-01,349
1995-04-01,346
1995-07-01,352
1995-10-01,350
1996-01-01,373
1996-04-01,348
1996-07-01,341
1996-10-01,336
1997-01-01,352
1997-04-01,317
1997-07-01,303
1997-10-01,294
1998-01-01,303
1998-04-01,310
1998-07-01,309
1998-10-01,299
1999-01-01,325
1999-04-01,325
1999-07-01,322
1999-10-01,316
2000-01-01,311
2000-04-01,303
2000-07-01,301
2000-10-01,303
2001-01-01,317
2001-04-01,316
2001-07-01,315
2001-10-01,311
2002-01-01,313
2002-04-01,314
2002-07-01,311
2002-10-01,311
2003-01-01,333
2003-04-01,335
2003-07-01,343
2003-10-01,330
2004-01-01,338
2004-04-01,341
2004-07-01,347
2004-10-01,348
2005-01-01,369
2005-04-01,367
2005-07-01,374
2005-10-01,376
2006-01-01,398
2006-04-01,399
2006-07-01,397
2006-10-01,394
2007-01-01,417
2007-04-01,418
2007-07-01,408
2007-10-01,411
2008-01-01,425
2008-04-01,418
2008-07-01,417
2008-10-01,416
2009-01-01,452
2009-04-01,448
2009-07-01,440
2009-10-01,439
2010-01-01,452
2010-04-01,431
2010-07-01,431
2010-10-01,429
2011-01-01,437
2011-04-01,437
2011-07-01,438
2011-10-01,434
2012-01-01,443
2012-04-01,441
2012-07-01,444
2012-10-01,443
2013-01-01,457
2013-04-01,449
2013-07-01,448
2013-10-01,446
2014-01-01,460
2014-04-01,448
2014-07-01,453
2014-10-01,461
2015-01-01,476
2015-04-01,470
2015-07-01,466
2015-10-01,461
2016-01-01,498
2016-04-01,497
2016-07-01,497
2016-10-01,501
2017-01-01,520
2017-04-01,519
2017-07-01,512
2017-10-01,506
2018-01-01,523
2018-04-01,529
2018-07-01,525
2018-10-01,526
2019-01-01,540
