DATE,US100NUM
1984-01-01,12147
1984-04-01,12123
1984-07-01,12127
1984-10-01,12125
1985-01-01,11972
1985-04-01,11935
1985-07-01,11897
1985-10-01,11818
1986-01-01,11694
1986-04-01,11633
1986-07-01,11602
1986-10-01,11498
1987-01-01,11266
1987-04-01,11156
1987-07-01,11064
1987-10-01,10935
1988-01-01,10719
1988-04-01,10604
1988-07-01,10448
1988-10-01,10333
1989-01-01,10091
1989-04-01,10024
1989-07-01,9906
1989-10-01,9780
1990-01-01,9529
1990-04-01,9452
1990-07-01,9363
1990-10-01,9305
1991-01-01,9099
1991-04-01,9023
1991-07-01,8944
1991-10-01,8822
1992-01-01,8620
1992-04-01,8511
1992-07-01,8416
1992-10-01,8315
1993-01-01,8154
1993-04-01,8061
1993-07-01,7947
1993-10-01,7866
1994-01-01,7637
1994-04-01,7548
1994-07-01,7437
1994-10-01,7322
1995-01-01,7103
1995-04-01,7031
1995-07-01,6910
1995-10-01,6813
1996-01-01,6577
1996-04-01,6497
1996-07-01,6411
1996-10-01,6349
1997-01-01,6146
1997-04-01,6102
1997-07-01,6058
1997-10-01,5997
1998-01-01,5765
1998-04-01,5711
1998-07-01,5650
1998-10-01,5570
1999-01-01,5368
1999-04-01,5326
1999-07-01,5309
1999-10-01,5285
2000-01-01,5121
2000-04-01,5079
2000-07-01,5005
2000-10-01,4968
2001-01-01,4779
2001-04-01,4734
2001-07-01,4700
2001-10-01,4644
2002-01-01,4438
2002-04-01,4410
2002-07-01,4368
2002-10-01,4320
2003-01-01,4139
2003-04-01,4097
2003-07-01,4060
2003-10-01,4027
2004-01-01,3873
2004-04-01,3848
2004-07-01,3817
2004-10-01,3792
2005-01-01,3621
2005-04-01,3602
2005-07-01,3587
2005-10-01,3581
2006-01-01,3435
2006-04-01,3425
2006-07-01,3424
2006-10-01,3387
2007-01-01,3241
2007-04-01,3233
2007-07-01,3220
2007-10-01,3200
2008-01-01,3024
2008-04-01,2970
2008-07-01,2952
2008-10-01,2907
2009-01-01,2734
2009-04-01,2702
2009-07-01,2643
2009-10-01,2596
2010-01-01,2471
2010-04-01,2445
2010-07-01,2415
2010-10-01,2371
2011-01-01,2273
2011-04-01,2255
2011-07-01,2222
2011-10-01,2184
2012-01-01,2103
2012-04-01,2084
2012-07-01,2051
2012-10-01,2006
2013-01-01,1917
2013-04-01,1888
2013-07-01,1868
2013-10-01,1841
2014-01-01,1767
2014-04-01,1747
2014-07-01,1710
2014-10-01,1686
2015-01-01,1607
2015-04-01,1578
2015-07-01,1557
2015-10-01,1523
2016-01-01,1469
2016-04-01,1448
2016-07-01,1408
2016-10-01,1377
2017-01-01,1324
2017-04-01,1298
2017-07-01,1284
2017-10-01,1269
2018-01-01,1230
2018-04-01,1218
2018-07-01,1190
2018-10-01,1165
2019-01-01,1121
