DATE,US100NIM
1984-01-01,4.62
1984-04-01,4.7
1984-07-01,4.72
1984-10-01,4.69
1985-01-01,4.63
1985-04-01,4.72
1985-07-01,4.76
1985-10-01,4.76
1986-01-01,4.59
1986-04-01,4.57
1986-07-01,4.53
1986-10-01,4.5
1987-01-01,4.55
1987-04-01,4.6
1987-07-01,4.63
1987-10-01,4.65
1988-01-01,4.5
1988-04-01,4.55
1988-07-01,4.62
1988-10-01,4.66
1989-01-01,4.66
1989-04-01,4.75
1989-07-01,4.73
1989-10-01,4.71
1990-01-01,4.53
1990-04-01,4.57
1990-07-01,4.59
1990-10-01,4.59
1991-01-01,4.42
1991-04-01,4.5
1991-07-01,4.57
1991-10-01,4.61
1992-01-01,4.71
1992-04-01,4.78
1992-07-01,4.83
1992-10-01,4.85
1993-01-01,4.8
1993-04-01,4.83
1993-07-01,4.84
1993-10-01,4.82
1994-01-01,5.64
1994-04-01,5.19
1994-07-01,5.1
1994-10-01,5.06
1995-01-01,4.86
1995-04-01,4.85
1995-07-01,4.84
1995-10-01,4.86
1996-01-01,4.68
1996-04-01,4.73
1996-07-01,4.77
1996-10-01,4.8
1997-01-01,4.7
1997-04-01,4.77
1997-07-01,4.78
1997-10-01,4.82
1998-01-01,4.65
1998-04-01,4.68
1998-07-01,4.68
1998-10-01,4.66
1999-01-01,4.42
1999-04-01,4.47
1999-07-01,4.51
1999-10-01,4.53
2000-01-01,4.58
2000-04-01,4.62
2000-07-01,4.62
2000-10-01,4.58
2001-01-01,4.36
2001-04-01,4.34
2001-07-01,4.35
2001-10-01,4.36
2002-01-01,4.33
2002-04-01,4.40
2002-07-01,4.44
2002-10-01,4.43
2003-01-01,4.24
2003-04-01,4.26
2003-07-01,4.26
2003-10-01,4.26
2004-01-01,4.22
2004-04-01,4.23
2004-07-01,4.26
2004-10-01,4.29
2005-01-01,4.27
2005-04-01,4.31
2005-07-01,4.32
2005-10-01,4.34
2006-01-01,4.30
2006-04-01,4.34
2006-07-01,4.35
2006-10-01,4.34
2007-01-01,4.20
2007-04-01,4.23
2007-07-01,4.25
2007-10-01,4.24
2008-01-01,4.04
2008-04-01,4.01
2008-07-01,4.03
2008-10-01,4.02
2009-01-01,3.88
2009-04-01,3.91
2009-07-01,3.95
2009-10-01,3.97
2010-01-01,3.97
2010-04-01,4.00
2010-07-01,4.03
2010-10-01,4.02
2011-01-01,3.92
2011-04-01,3.96
2011-07-01,4.01
2011-10-01,4.02
2012-01-01,3.90
2012-04-01,3.90
2012-07-01,3.91
2012-10-01,3.91
2013-01-01,3.67
2013-04-01,3.71
2013-07-01,3.74
2013-10-01,3.76
2014-01-01,3.70
2014-04-01,3.74
2014-07-01,3.77
2014-10-01,3.78
2015-01-01,3.68
2015-04-01,3.72
2015-07-01,3.77
2015-10-01,3.79
2016-01-01,3.78
2016-04-01,3.79
2016-07-01,3.81
2016-10-01,3.81
2017-01-01,3.74
2017-04-01,3.78
2017-07-01,3.82
2017-10-01,3.84
2018-01-01,3.85
2018-04-01,3.88
2018-07-01,3.91
2018-10-01,3.94
2019-01-01,3.91
