DATE,US13ROA
1984-01-01,0.97
1984-04-01,0.99
1984-07-01,1
1984-10-01,0.89
1985-01-01,0.92
1985-04-01,0.95
1985-07-01,0.96
1985-10-01,0.85
1986-01-01,0.98
1986-04-01,0.91
1986-07-01,0.88
1986-10-01,0.74
1987-01-01,0.89
1987-04-01,0.81
1987-07-01,0.83
1987-10-01,0.76
1988-01-01,0.83
1988-04-01,0.86
1988-07-01,0.89
1988-10-01,0.81
1989-01-01,1.03
1989-04-01,1.02
1989-07-01,1.02
1989-10-01,0.94
1990-01-01,0.93
1990-04-01,0.96
1990-07-01,0.95
1990-10-01,0.85
1991-01-01,0.87
1991-04-01,0.86
1991-07-01,0.85
1991-10-01,0.81
1992-01-01,1.05
1992-04-01,1.1
1992-07-01,1.1
1992-10-01,1.06
1993-01-01,1.31
1993-04-01,1.24
1993-07-01,1.26
1993-10-01,1.2
1994-01-01,1.15
1994-04-01,1.2
1994-07-01,1.21
1994-10-01,1.18
1995-01-01,1.22
1995-04-01,1.22
1995-07-01,1.27
1995-10-01,1.25
1996-01-01,1.28
1996-04-01,1.29
1996-07-01,1.32
1996-10-01,1.29
1997-01-01,1.31
1997-04-01,1.33
1997-07-01,1.37
1997-10-01,1.33
1998-01-01,1.38
1998-04-01,1.35
1998-07-01,1.34
1998-10-01,1.3
1999-01-01,1.26
1999-04-01,1.24
1999-07-01,1.24
1999-10-01,1.2
2000-01-01,1.30
2000-04-01,1.28
2000-07-01,1.24
2000-10-01,1.22
2001-01-01,1.23
2001-04-01,1.19
2001-07-01,1.18
2001-10-01,1.13
2002-01-01,1.13
2002-04-01,1.18
2002-07-01,1.23
2002-10-01,1.22
2003-01-01,1.23
2003-04-01,1.19
2003-07-01,1.21
2003-10-01,1.18
2004-01-01,1.20
2004-04-01,1.21
2004-07-01,1.23
2004-10-01,1.22
2005-01-01,1.22
2005-04-01,1.25
2005-07-01,1.27
2005-10-01,1.24
2006-01-01,1.21
2006-04-01,1.23
2006-07-01,1.24
2006-10-01,1.20
2007-01-01,1.10
2007-04-01,1.11
2007-07-01,1.11
2007-10-01,1.00
2008-01-01,0.86
2008-04-01,0.74
2008-07-01,0.64
2008-10-01,0.42
2009-01-01,0.34
2009-04-01,0.14
2009-07-01,0.16
2009-10-01,0.03
2010-01-01,0.40
2010-04-01,0.36
2010-07-01,0.38
2010-10-01,0.30
2011-01-01,0.55
2011-04-01,0.56
2011-07-01,0.62
2011-10-01,0.60
2012-01-01,0.83
2012-04-01,0.82
2012-07-01,0.86
2012-10-01,0.85
2013-01-01,0.87
2013-04-01,0.89
2013-07-01,0.91
2013-10-01,0.88
2014-01-01,0.91
2014-04-01,0.96
2014-07-01,0.98
2014-10-01,0.98
2015-01-01,0.99
2015-04-01,1.01
2015-07-01,1.03
2015-10-01,1.02
2016-01-01,1.03
2016-04-01,1.05
2016-07-01,1.07
2016-10-01,1.05
2017-01-01,1.05
2017-04-01,1.07
2017-07-01,1.11
2017-10-01,1.04
2018-01-01,1.15
2018-04-01,1.20
2018-07-01,1.24
2018-10-01,1.18
2019-01-01,1.16
