DATE,US31NPTL
1984-01-01,2.35
1984-04-01,2.18
1984-07-01,2.1
1984-10-01,2.03
1985-01-01,2.15
1985-04-01,2.10
1985-07-01,2.26
1985-10-01,2.23
1986-01-01,2.38
1986-04-01,2.5
1986-07-01,2.65
1986-10-01,2.45
1987-01-01,2.58
1987-04-01,2.54
1987-07-01,2.5
1987-10-01,2.33
1988-01-01,2.46
1988-04-01,2.26
1988-07-01,2.19
1988-10-01,1.97
1989-01-01,2.59
1989-04-01,2.58
1989-07-01,2.45
1989-10-01,2.30
1990-01-01,2.45
1990-04-01,2.32
1990-07-01,2.53
1990-10-01,2.45
1991-01-01,2.57
1991-04-01,2.59
1991-07-01,2.68
1991-10-01,2.41
1992-01-01,2.46
1992-04-01,2.32
1992-07-01,2.31
1992-10-01,2.01
1993-01-01,1.92
1993-04-01,1.84
1993-07-01,1.79
1993-10-01,1.57
1994-01-01,1.48
1994-04-01,1.32
1994-07-01,1.25
1994-10-01,1.07
1995-01-01,1.05
1995-04-01,1.02
1995-07-01,1.06
1995-10-01,0.99
1996-01-01,1.01
1996-04-01,1
1996-07-01,1.02
1996-10-01,0.96
1997-01-01,0.96
1997-04-01,0.92
1997-07-01,0.89
1997-10-01,0.85
1998-01-01,0.85
1998-04-01,0.84
1998-07-01,0.83
1998-10-01,0.77
1999-01-01,0.82
1999-04-01,0.74
1999-07-01,0.77
1999-10-01,0.69
2000-01-01,0.73
2000-04-01,0.73
2000-07-01,0.76
2000-10-01,0.77
2001-01-01,0.81
2001-04-01,0.86
2001-07-01,0.93
2001-10-01,0.9
2002-01-01,0.97
2002-04-01,0.94
2002-07-01,1.01
2002-10-01,0.92
2003-01-01,0.98
2003-04-01,0.95
2003-07-01,0.94
2003-10-01,0.87
2004-01-01,0.83
2004-04-01,0.75
2004-07-01,0.75
2004-10-01,0.66
2005-01-01,0.63
2005-04-01,0.65
2005-07-01,0.62
2005-10-01,0.60
2006-01-01,0.59
2006-04-01,0.57
2006-07-01,0.64
2006-10-01,0.69
2007-01-01,0.74
2007-04-01,0.88
2007-07-01,1.09
2007-10-01,1.32
2008-01-01,1.68
2008-04-01,1.92
2008-07-01,2.22
2008-10-01,2.62
2009-01-01,3.07
2009-04-01,3.46
2009-07-01,3.88
2009-10-01,3.95
2010-01-01,4.05
2010-04-01,3.94
2010-07-01,3.98
2010-10-01,3.98
2011-01-01,3.87
2011-04-01,3.82
2011-07-01,3.58
2011-10-01,3.34
2012-01-01,3.17
2012-04-01,2.93
2012-07-01,2.73
2012-10-01,2.46
2013-01-01,2.38
2013-04-01,2.12
2013-07-01,1.97
2013-10-01,1.79
2014-01-01,1.70
2014-04-01,1.61
2014-07-01,1.51
2014-10-01,1.30
2015-01-01,1.26
2015-04-01,1.17
2015-07-01,1.12
2015-10-01,1.05
2016-01-01,1.06
2016-04-01,1.00
2016-07-01,0.99
2016-10-01,0.94
2017-01-01,0.95
2017-04-01,0.92
2017-07-01,0.89
2017-10-01,0.82
2018-01-01,0.84
2018-04-01,0.80
2018-07-01,0.80
2018-10-01,0.76
2019-01-01,0.78
