DATE,US115NPTL
1984-01-01,2.99
1984-04-01,2.73
1984-07-01,2.76
1984-10-01,2.60
1985-01-01,2.64
1985-04-01,2.54
1985-07-01,2.48
1985-10-01,2.20
1986-01-01,2.20
1986-04-01,2.21
1986-07-01,2.31
1986-10-01,2.17
1987-01-01,2.67
1987-04-01,2.70
1987-07-01,2.57
1987-10-01,2.47
1988-01-01,2.41
1988-04-01,2.25
1988-07-01,2.74
1988-10-01,2.06
1989-01-01,2.01
1989-04-01,2.30
1989-07-01,2.46
1989-10-01,2.57
1990-01-01,2.50
1990-04-01,2.79
1990-07-01,3.27
1990-10-01,3.65
1991-01-01,4.00
1991-04-01,4.07
1991-07-01,3.64
1991-10-01,3.40
1992-01-01,3.33
1992-04-01,3.16
1992-07-01,3
1992-10-01,2.61
1993-01-01,2.44
1993-04-01,2.2
1993-07-01,2.09
1993-10-01,1.74
1994-01-01,1.63
1994-04-01,1.44
1994-07-01,1.33
1994-10-01,1.15
1995-01-01,1.13
1995-04-01,1.1
1995-07-01,1.11
1995-10-01,1.1
1996-01-01,1.14
1996-04-01,1.12
1996-07-01,1.14
1996-10-01,1.14
1997-01-01,1.12
1997-04-01,1.12
1997-07-01,1.13
1997-10-01,1.09
1998-01-01,1
1998-04-01,0.98
1998-07-01,1.09
1998-10-01,1.1
1999-01-01,1.11
1999-04-01,1.04
1999-07-01,1.06
1999-10-01,1
2000-01-01,0.97
2000-04-01,0.97
2000-07-01,1.01
2000-10-01,1.07
2001-01-01,1.01
2001-04-01,1.03
2001-07-01,1.09
2001-10-01,1.07
2002-01-01,1.07
2002-04-01,1.07
2002-07-01,1.07
2002-10-01,1.04
2003-01-01,1.07
2003-04-01,1.03
2003-07-01,1.00
2003-10-01,0.96
2004-01-01,0.88
2004-04-01,0.81
2004-07-01,0.78
2004-10-01,0.71
2005-01-01,0.65
2005-04-01,0.61
2005-07-01,0.63
2005-10-01,0.59
2006-01-01,0.56
2006-04-01,0.57
2006-07-01,0.57
2006-10-01,0.59
2007-01-01,0.66
2007-04-01,0.75
2007-07-01,0.89
2007-10-01,1.24
2008-01-01,1.67
2008-04-01,2.04
2008-07-01,2.30
2008-10-01,2.99
2009-01-01,3.75
2009-04-01,4.34
2009-07-01,4.53
2009-10-01,4.74
2010-01-01,4.81
2010-04-01,4.42
2010-07-01,4.45
2010-10-01,4.17
2011-01-01,4.22
2011-04-01,3.92
2011-07-01,3.83
2011-10-01,3.62
2012-01-01,3.52
2012-04-01,3.18
2012-07-01,3.00
2012-10-01,2.68
2013-01-01,2.58
2013-04-01,2.27
2013-07-01,2.08
2013-10-01,1.88
2014-01-01,1.79
2014-04-01,1.59
2014-07-01,1.46
2014-10-01,1.32
2015-01-01,1.29
2015-04-01,1.18
2015-07-01,1.11
2015-10-01,1.08
2016-01-01,1.10
2016-04-01,1.05
2016-07-01,0.98
2016-10-01,1.01
2017-01-01,0.98
2017-04-01,0.87
2017-07-01,0.85
2017-10-01,0.83
2018-01-01,0.83
2018-04-01,0.80
2018-07-01,0.79
2018-10-01,0.77
2019-01-01,0.76
