DATE,US31LLRTL
1984-01-01,1.20
1984-04-01,1.19
1984-07-01,1.21
1984-10-01,1.19
1985-01-01,1.23
1985-04-01,1.28
1985-07-01,1.32
1985-10-01,1.41
1986-01-01,1.46
1986-04-01,1.49
1986-07-01,1.6
1986-10-01,1.62
1987-01-01,1.66
1987-04-01,1.75
1987-07-01,1.74
1987-10-01,1.83
1988-01-01,1.73
1988-04-01,1.65
1988-07-01,1.63
1988-10-01,1.61
1989-01-01,1.67
1989-04-01,1.66
1989-07-01,1.64
1989-10-01,1.64
1990-01-01,1.73
1990-04-01,1.73
1990-07-01,1.81
1990-10-01,1.87
1991-01-01,1.87
1991-04-01,1.87
1991-07-01,1.94
1991-10-01,1.94
1992-01-01,1.98
1992-04-01,2.01
1992-07-01,2.06
1992-10-01,2.06
1993-01-01,2.09
1993-04-01,2.07
1993-07-01,2.04
1993-10-01,1.95
1994-01-01,1.95
1994-04-01,1.87
1994-07-01,1.81
1994-10-01,1.78
1995-01-01,1.78
1995-04-01,1.74
1995-07-01,1.69
1995-10-01,1.69
1996-01-01,1.67
1996-04-01,1.67
1996-07-01,1.67
1996-10-01,1.69
1997-01-01,1.63
1997-04-01,1.59
1997-07-01,1.59
1997-10-01,1.67
1998-01-01,1.55
1998-04-01,1.55
1998-07-01,1.58
1998-10-01,1.53
1999-01-01,1.61
1999-04-01,1.52
1999-07-01,1.52
1999-10-01,1.47
2000-01-01,1.47
2000-04-01,1.46
2000-07-01,1.45
2000-10-01,1.46
2001-01-01,1.43
2001-04-01,1.43
2001-07-01,1.44
2001-10-01,1.46
2002-01-01,1.46
2002-04-01,1.46
2002-07-01,1.46
2002-10-01,1.48
2003-01-01,1.48
2003-04-01,1.50
2003-07-01,1.51
2003-10-01,1.44
2004-01-01,1.42
2004-04-01,1.40
2004-07-01,1.38
2004-10-01,1.36
2005-01-01,1.30
2005-04-01,1.30
2005-07-01,1.29
2005-10-01,1.28
2006-01-01,1.27
2006-04-01,1.24
2006-07-01,1.24
2006-10-01,1.22
2007-01-01,1.23
2007-04-01,1.23
2007-07-01,1.24
2007-10-01,1.27
2008-01-01,1.30
2008-04-01,1.37
2008-07-01,1.42
2008-10-01,1.56
2009-01-01,1.63
2009-04-01,1.74
2009-07-01,1.87
2009-10-01,2.01
2010-01-01,2.02
2010-04-01,2.01
2010-07-01,2.01
2010-10-01,2.08
2011-01-01,2.13
2011-04-01,2.09
2011-07-01,2.06
2011-10-01,2.00
2012-01-01,2.00
2012-04-01,1.95
2012-07-01,1.89
2012-10-01,1.82
2013-01-01,1.83
2013-04-01,1.76
2013-07-01,1.72
2013-10-01,1.64
2014-01-01,1.64
2014-04-01,1.59
2014-07-01,1.55
2014-10-01,1.47
2015-01-01,1.47
2015-04-01,1.43
2015-07-01,1.41
2015-10-01,1.37
2016-01-01,1.38
2016-04-01,1.36
2016-07-01,1.34
2016-10-01,1.32
2017-01-01,1.33
2017-04-01,1.31
2017-07-01,1.30
2017-10-01,1.27
2018-01-01,1.29
2018-04-01,1.28
2018-07-01,1.27
2018-10-01,1.27
2019-01-01,1.27
