DATE,US13NIM
1984-01-01,4.3
1984-04-01,4.43
1984-07-01,4.49
1984-10-01,4.46
1985-01-01,4.39
1985-04-01,4.48
1985-07-01,4.53
1985-10-01,4.55
1986-01-01,4.39
1986-04-01,4.38
1986-07-01,4.36
1986-10-01,4.37
1987-01-01,4.5
1987-04-01,4.57
1987-07-01,4.60
1987-10-01,4.64
1988-01-01,4.44
1988-04-01,4.57
1988-07-01,4.68
1988-10-01,4.72
1989-01-01,4.83
1989-04-01,4.87
1989-07-01,4.83
1989-10-01,4.81
1990-01-01,4.59
1990-04-01,4.63
1990-07-01,4.67
1990-10-01,4.66
1991-01-01,4.53
1991-04-01,4.59
1991-07-01,4.64
1991-10-01,4.66
1992-01-01,4.75
1992-04-01,4.8
1992-07-01,4.85
1992-10-01,4.9
1993-01-01,4.83
1993-04-01,4.86
1993-07-01,4.87
1993-10-01,4.83
1994-01-01,5.66
1994-04-01,5.25
1994-07-01,5.15
1994-10-01,5.11
1995-01-01,4.86
1995-04-01,4.85
1995-07-01,4.87
1995-10-01,4.88
1996-01-01,4.76
1996-04-01,4.77
1996-07-01,4.83
1996-10-01,4.84
1997-01-01,4.79
1997-04-01,4.84
1997-07-01,4.87
1997-10-01,4.90
1998-01-01,4.72
1998-04-01,4.76
1998-07-01,4.78
1998-10-01,4.76
1999-01-01,4.62
1999-04-01,4.63
1999-07-01,4.68
1999-10-01,4.70
2000-01-01,4.62
2000-04-01,4.64
2000-07-01,4.66
2000-10-01,4.65
2001-01-01,4.37
2001-04-01,4.38
2001-07-01,4.42
2001-10-01,4.43
2002-01-01,4.42
2002-04-01,4.48
2002-07-01,4.50
2002-10-01,4.50
2003-01-01,4.28
2003-04-01,4.27
2003-07-01,4.28
2003-10-01,4.28
2004-01-01,4.24
2004-04-01,4.24
2004-07-01,4.28
2004-10-01,4.31
2005-01-01,4.26
2005-04-01,4.32
2005-07-01,4.34
2005-10-01,4.35
2006-01-01,4.31
2006-04-01,4.33
2006-07-01,4.33
2006-10-01,4.33
2007-01-01,4.15
2007-04-01,4.17
2007-07-01,4.18
2007-10-01,4.16
2008-01-01,3.92
2008-04-01,3.90
2008-07-01,3.93
2008-10-01,3.91
2009-01-01,3.71
2009-04-01,3.75
2009-07-01,3.79
2009-10-01,3.81
2010-01-01,3.88
2010-04-01,3.92
2010-07-01,3.95
2010-10-01,3.95
2011-01-01,3.90
2011-04-01,3.96
2011-07-01,4.00
2011-10-01,4.01
2012-01-01,3.91
2012-04-01,3.91
2012-07-01,3.92
2012-10-01,3.90
2013-01-01,3.71
2013-04-01,3.74
2013-07-01,3.77
2013-10-01,3.79
2014-01-01,3.74
2014-04-01,3.77
2014-07-01,3.80
2014-10-01,3.82
2015-01-01,3.74
2015-04-01,3.77
2015-07-01,3.81
2015-10-01,3.81
2016-01-01,3.79
2016-04-01,3.81
2016-07-01,3.83
2016-10-01,3.84
2017-01-01,3.78
2017-04-01,3.83
2017-07-01,3.88
2017-10-01,3.90
2018-01-01,3.89
2018-04-01,3.93
2018-07-01,3.97
2018-10-01,3.99
2019-01-01,3.95
