DATE,US100ROE
1984-01-01,11.56
1984-04-01,11.63
1984-07-01,11.59
1984-10-01,9.27
1985-01-01,10.72
1985-04-01,10.47
1985-07-01,10.32
1985-10-01,7.77
1986-01-01,10.3
1986-04-01,8.84
1986-07-01,7.95
1986-10-01,5.66
1987-01-01,8.30
1987-04-01,7.61
1987-07-01,7.60
1987-10-01,6.16
1988-01-01,8.56
1988-04-01,8.37
1988-07-01,8.65
1988-10-01,7.56
1989-01-01,10.45
1989-04-01,9.93
1989-07-01,9.85
1989-10-01,8.80
1990-01-01,8.91
1990-04-01,9.13
1990-07-01,9.05
1990-10-01,7.70
1991-01-01,12.95
1991-04-01,10.79
1991-07-01,10.45
1991-10-01,8.56
1992-01-01,11.81
1992-04-01,12.02
1992-07-01,12.15
1992-10-01,11.29
1993-01-01,13.59
1993-04-01,13.23
1993-07-01,12.93
1993-10-01,12.08
1994-01-01,11.79
1994-04-01,11.83
1994-07-01,12.01
1994-10-01,11.52
1995-01-01,11.65
1995-04-01,11.64
1995-07-01,12.05
1995-10-01,11.56
1996-01-01,11.70
1996-04-01,11.89
1996-07-01,11.98
1996-10-01,11.33
1997-01-01,11.47
1997-04-01,11.75
1997-07-01,11.82
1997-10-01,11.19
1998-01-01,10.98
1998-04-01,11.09
1998-07-01,11.16
1998-10-01,10.31
1999-01-01,9.95
1999-04-01,9.83
1999-07-01,10.06
1999-10-01,9.59
2000-01-01,10.30
2000-04-01,10.64
2000-07-01,10.42
2000-10-01,9.59
2001-01-01,8.97
2001-04-01,8.61
2001-07-01,8.67
2001-10-01,8.05
2002-01-01,9.27
2002-04-01,9.56
2002-07-01,9.75
2002-10-01,9.19
2003-01-01,9.15
2003-04-01,9.37
2003-07-01,9.15
2003-10-01,8.54
2004-01-01,8.88
2004-04-01,8.95
2004-07-01,9.06
2004-10-01,8.57
2005-01-01,8.87
2005-04-01,8.83
2005-07-01,8.71
2005-10-01,7.99
2006-01-01,8.03
2006-04-01,8.09
2006-07-01,7.84
2006-10-01,7.06
2007-01-01,6.24
2007-04-01,6.27
2007-07-01,6.09
2007-10-01,5.25
2008-01-01,4.43
2008-04-01,4.00
2008-07-01,3.53
2008-10-01,1.93
2009-01-01,2.50
2009-04-01,1.20
2009-07-01,1.41
2009-10-01,0.46
2010-01-01,3.43
2010-04-01,4.12
2010-07-01,4.28
2010-10-01,3.32
2011-01-01,5.64
2011-04-01,5.48
2011-07-01,5.80
2011-10-01,5.18
2012-01-01,7.02
2012-04-01,6.67
2012-07-01,6.90
2012-10-01,6.47
2013-01-01,6.43
2013-04-01,6.91
2013-07-01,7.03
2013-10-01,7.31
2014-01-01,6.53
2014-04-01,7.25
2014-07-01,7.37
2014-10-01,7.02
2015-01-01,7.05
2015-04-01,7.39
2015-07-01,7.55
2015-10-01,7.11
2016-01-01,7.41
2016-04-01,7.48
2016-07-01,7.60
2016-10-01,7.09
2017-01-01,7.10
2017-04-01,7.35
2017-07-01,7.54
2017-10-01,6.89
2018-01-01,7.34
2018-04-01,8.00
2018-07-01,8.19
2018-10-01,7.83
2019-01-01,7.57
